barcode,location,author,title,publisher_code,status
32065,ME:EST,K PADMANABHAN,A PRACTICAL APPROACH TO DIGITAL SIGNAL PROCESSING,NEWAGEINTERNATIONAL,Available
32066,ME:EST,DAVID CALCUTT,8051 MICROCONTROLLERS,NEWNES,Not for loan
32067,ME:EST,M N BANDYOPADHYAY,CONTROL ENGINEERING,PRENTICEHALL,Not for loan
32068,ME:EST,S POORNA CHANDRA,DIGITAL SIGANL PROCESSING,VIJAYNICOLE,Available
32069,ME:EST,STEVE WHITE,DIGITAL SIGANL PROCESSING,VIKASPUBLISHINGHOUSPVTLTD,Not for loan
32070,ME:EST,S P EUGENE XAVIER,DIGITAL SIGNAL PROCESSING,SCHAND,Available
32072,ME:EST,E ACHA,POWER ELECTRONIC CONTROL IN ELECTRICAL SYSTEMS,ELSEVIER,Not for loan
32073,ME:EST,ALAN V OPPENHEIM,DIGITAL SI,PRENTCIE-HALLOFINDIA,Not for loan
32074,ME:EST,LAWRENCE R RABINER,Theory And Application Of Digital Signal Processing,PRENTCIE-HALLOFINDIA,Not for loan
32075,ME:EST,BIMAL K BOSE,MODERN POWER ELECTRONICS AND AC DRIVES,PEARSONEDUCATION,Not for loan
32076,ME:EST,KATSUHIKO OGATA,SYSTEM DYNAMICS,PEARSIONEDUCATION,Not for loan
32077,ME:EST,RAGHVEER M RAO,WAVELET TRANSFORMS,PEARSONEDUCATION,Not for loan
32078,ME:EST,GENE F FRANKLIN,FEEDBACK CONTROL OF DYNAMIC SYSTEMS,PEARSIONEDUCATION,Not for loan
32079,ME:EST,P C SEN,Principles Of Electric Machines And Power Electronics,WILEY,Available
32080,ME:EST,P C SEN,Principles Of Electric Machines And Power Electronics,WILEY,Available
32081,ME:EST,ANDREW S TANENBAUM,COMPUTER NETWORKS,PEARSONEDUCATION,Available
32082,ME:EST,S KESHAV,AN ENGINEERING APPROACH TO COMPUTER NETWORKING,PEARSIONEDUCATION,Not for loan
32083,ME:EST,ASHFAQ AHMED,POWER ELECTRONICS FOR TECHNOLOGY,PEARSIONEDUCATION,Not for loan
32084,ME:EST,J K SHARMA,OPERATIONS RESCARCH,MACMILLAN,Available
32085,ME:EST,FRANCIS H RAVEN,AUTOMATIC CONTROL ENGINEERING,MCGRAW-HILL,Not for loan
32086,ME:EST,GOPAL K DUBEY,Fundamentals Of Electrical Drives,NAROSAPUBLISHINGHOUSEPVT.LTD.,Available
32087,ME:EST,GOPAL K DUBEY,Fundamentals Of Electrical Drives,NAROSAPUBLISHINGHOUSEPVT.LTD.,Not for loan
32088,ME:EST,S K PILLAI,A FIRST COURSE ON ELECTRICAL DRIVES,NEWAGEINTERNATIONAL,Not for loan
32089,ME:EST,ALI BEHFOROOZ,SOFTWARE ENGINEERING FUNDAMENTALS,OXFORDUNIVERCITYPRESS,Not for loan
32090,ME:EST,BENJAMIN C KUO,DIGITAL CONTROL SYSTEMS,OXFORD,Not for loan
32091,ME:EST,N P PADHY,ARTIFICIAL INTELLEGENCE AND INTELLIGENT SYSTEMS,OXFORDUNIVERCITYPRESS,Not for loan
32092,ME:EST,R PANNEERSELAM,OPERATIONS RESEARCH,PRENTIC-HALL[P]LTD,Available
32093,ME:EST,KENNETH J AYALA,THE 8051 MICROCONTROL,THOMSONDELMAR,Not for loan
32094,ME:EST,ALOK JAIN,POWER ELECTRONICS AND ITS APPLICATIONS,PENRAMINTERNATIONAL,Not for loan
32095,ME:EST,ROBERTO CRISTI,MODERN DIGITAL SIGNAL PROCESSING,THOMSONBROOKSCOLE,Not for loan
32097,ME:EST,KENNETH J HINTZ,MICROCONTROLLERS,TATAMCGRAW-HILL,Not for loan
32098,ME:EST,J MICHAEL JACOB,POWER ELECTRONICS,THOMSONBROOKSCOLE,Available
32099,ME:EST,D L PAUL MINH,APPLIED PROBABILITY MODELS,DUXBURYPRESS,Not for loan
32100,ME:EST,KATSUHIKO OGATA,Modern Control Engineering,PEARSIONEDUCATION,Available
